element_id,decision,element_type,priority,shape,x_min,x_max,y_min,y_max,center_x,center_y,radius_x,radius_y,points
slide_009_element_01,Click each icon to learn more about each part of the cell cycle. Click the next arrow when you’re ready to test your knowledge.,paragraph,0,rectangle,0.05,0.95,0.05,0.12,,,,,
slide_009_element_02,Mitotic Phase information,popup,100,rectangle,0.1,0.9,0.15,0.85,,,,,
slide_009_element_03,"Mitotic Phase During the mitotic (M) phase, the cell separates its DNA into two sets and divides its cytoplasm, forming two new cells.",paragraph,0,rectangle,0.12,0.88,0.18,0.3,,,,,
slide_009_element_04,Image of cell during Interphase,image,0,rectangle,0.12,0.88,0.32,0.75,,,,,
slide_009_element_05,4,button,20,ellipse,,,,,0.885,0.155,0.035,0.035,
slide_009_element_06,entire image,blank_area,-100,rectangle,0.0,1.0,0.0,1.0,,,,,
