element_id,decision,element_type,priority,shape,x_min,x_max,y_min,y_max,center_x,center_y,radius_x,radius_y,points
slide_027_element_01,Click each icon to learn more about each part of the cell cycle. Click the next arrow when you’re ready to test your knowledge.,paragraph,0,rectangle,0.02,0.98,0.02,0.08,,,,,
slide_027_element_02,"Mitotic Phase
During the mitotic (M) phase, the cell separates its DNA into two sets and divides its cytoplasm, forming two new cells.",popup,100,rectangle,0.15,0.85,0.15,0.45,,,,,
slide_027_element_03,Image of a cell during the Interphase.,image,0,rectangle,0.15,0.85,0.45,0.85,,,,,
slide_027_element_04,4,button,20,ellipse,,,,,0.885,0.185,0.035,0.035,
slide_027_element_05,Entire image,blank_area,-100,rectangle,0.0,1.0,0.0,1.0,,,,,
