element_id,decision,element_type,priority,shape,x_min,x_max,y_min,y_max,center_x,center_y,radius_x,radius_y,points
slide_031_element_01,Click each icon to learn more about each part of the cell cycle. Click the test icon when you’re ready to test your knowledge.,paragraph,0,rectangle,0.05,0.95,0.05,0.15,,,,,
slide_031_element_02,Cell cycle diagram,image,0,rectangle,0.1,0.9,0.2,0.9,,,,,
slide_031_element_03,2,button,20,ellipse,,,,,0.375,0.475,0.025,0.025,
slide_031_element_04,1,button,20,ellipse,,,,,0.575,0.675,0.025,0.025,
slide_031_element_05,3,button,20,ellipse,,,,,0.675,0.375,0.025,0.025,
slide_031_element_06,4,button,20,ellipse,,,,,0.825,0.225,0.025,0.025,
slide_031_element_07,"G2 phase: During the second gap phase, or G2 phase, the cell grows more, makes proteins and organelles, and begins to reorganize its contents in preparation for mitosis. G2 phase ends when mitosis begins.",popup,100,rectangle,0.4,0.7,0.15,0.35,,,,,
slide_031_element_08,Entire image,blank_area,-100,rectangle,0.0,1.0,0.0,1.0,,,,,
