element_id,decision,element_type,priority,shape,x_min,x_max,y_min,y_max,center_x,center_y,radius_x,radius_y,points
slide_004_element_01,Click each icon to learn more about each part of the cell cycle. Click the next arrow when you’re ready to test your knowledge.,paragraph,0,rectangle,0.05,0.95,0.05,0.12,,,,,
slide_004_element_02,Diagram of the cell cycle,image,0,rectangle,0.25,0.75,0.15,0.85,,,,,
slide_004_element_03,1,button,20,ellipse,,,,,0.575,0.575,0.025,0.025,
slide_004_element_04,2,button,20,ellipse,,,,,0.375,0.475,0.025,0.025,
slide_004_element_05,3,button,20,ellipse,,,,,0.525,0.325,0.025,0.025,
slide_004_element_06,4,button,20,ellipse,,,,,0.775,0.275,0.025,0.025,
slide_004_element_07,Entire image,blank_area,-100,rectangle,0.0,1.0,0.0,1.0,,,,,
