element_id,decision,element_type,priority,shape,x_min,x_max,y_min,y_max,center_x,center_y,radius_x,radius_y,points
slide_048_element_01,Click each icon to learn more about each part of the cell cycle. Click the next arrow when you’re ready to test your knowledge.,paragraph,0,rectangle,0.05,0.95,0.05,0.15,,,,,
slide_048_element_02,Cell cycle diagram,image,0,rectangle,0.15,0.85,0.2,0.8,,,,,
slide_048_element_03,i,button,20,ellipse,,,,,0.075,0.325,0.025,0.025,
slide_048_element_04,1,button,20,ellipse,,,,,0.575,0.775,0.025,0.025,
slide_048_element_05,2,button,20,ellipse,,,,,0.675,0.375,0.025,0.025,
slide_048_element_06,3,button,20,ellipse,,,,,0.775,0.275,0.025,0.025,
slide_048_element_07,entire image,blank_area,-100,rectangle,0.0,1.0,0.0,1.0,,,,,
