element_id,decision,element_type,priority,shape,x_min,x_max,y_min,y_max,center_x,center_y,radius_x,radius_y,points
slide_013_element_01,Click each icon to learn more about each part of the cell cycle. Click the next arrow when you’re ready to test your knowledge.,paragraph,0,rectangle,0.05,0.95,0.05,0.12,,,,,
slide_013_element_02,Cell cycle diagram,image,0,rectangle,0.25,0.75,0.15,0.75,,,,,
slide_013_element_03,i,button,20,ellipse,,,,,0.075,0.275,0.025,0.025,
slide_013_element_04,1,button,20,ellipse,,,,,0.625,0.725,0.025,0.025,
slide_013_element_05,2,button,20,ellipse,,,,,0.575,0.275,0.025,0.025,
slide_013_element_06,3,button,20,ellipse,,,,,0.725,0.425,0.025,0.025,
slide_013_element_07,"G1 checkpoint Purpose: This checkpoint is like the starting line for the cell cycle. Check: The cell checks if it has enough nutrients, energy, and the right signals to start dividing. Decision: If everything is good, the cell moves to the next stage (S phase). If not, it might pause or go into a resting state.",popup,100,rectangle,0.75,0.95,0.2,0.55,,,,,
slide_013_element_08,Entire image,blank_area,-100,rectangle,0.0,1.0,0.0,1.0,,,,,
