element_id,decision,element_type,priority,shape,x_min,x_max,y_min,y_max,center_x,center_y,radius_x,radius_y,points
slide_043_element_01,Click each icon to learn more about each part of the cell cycle. Click the next arrow when you’re ready to test your knowledge.,paragraph,0,rectangle,0.05,0.95,0.05,0.12,,,,,
slide_043_element_02,Cell cycle diagram,image,0,rectangle,0.15,0.65,0.15,0.75,,,,,
slide_043_element_03,2,button,20,ellipse,,,,,0.375,0.375,0.025,0.025,
slide_043_element_04,3,button,20,ellipse,,,,,0.525,0.325,0.025,0.025,
slide_043_element_05,4,button,20,ellipse,,,,,0.725,0.225,0.025,0.025,
slide_043_element_06,1,button,20,ellipse,,,,,0.475,0.575,0.025,0.025,
slide_043_element_07,"Click on each of the numbered markers to learn more about the cell cycle. When you’ve clicked each tab, click the next arrow to test your knowledge.",popup,100,rectangle,0.6,0.95,0.6,0.85,,,,,
slide_043_element_08,entire image,blank_area,-100,rectangle,0.0,1.0,0.0,1.0,,,,,
